20;140.199;143.890;172.857;141.117;119.089;
40;140.471;250.196;284.141;278.046;151.373;
60;414.767;422.752;416.686;417.938;422.140;
80;472.094;460.155;465.231;471.020;476.626;
100;488.095;494.408;501.606;496.007;502.867;
120;526.820;499.048;521.867;520.034;496.118;
140;603.690;459.704;542.626;553.734;513.689;
160;579.063;563.809;248.980;610.437;608.868;
180;620.792;627.598;606.167;622.030;593.979;
200;620.019;630.186;630.186;447.728;575.004;
220;626.744;0;598.004;580.100;649.356;
240;625.555;654.479;677.940;0;686.268;
260;675.245;655.215;630.346;610.896;684.711;
280;686.094;679.790;685.547;675.324;678.791;
300;677.309;0;0;672.973;691.750;
320;720.302;683.022;639.722;0;693.175;
340;690.489;647.153;0;0;719.925;
360;727.385;725.518;693.150;722.400;731.949;
380;725.076;708.411;716.296;701.952;0;
400;0;697.196;0;0;0;
420;0;0;0;0;0;
440;0;0;0;0;0;
460;0;0;0;0;0;
480;0;0;0;0;0;
500;0;0;0;0;0;
